attempt,diagnostic_exit_idx,divergence_missing_reason,divergence_signal_date,edge_rank,entry_adv_dollars,entry_date,entry_day_stop,entry_idx,entry_price,estimated_cost_drag_pct,exit_date,exit_price,exit_reason,gross_excess_vs_spy_pct,gross_return_pct,highest_close,hold_sessions,initial_stop,ma50_20_sessions_ago,ma50_missing_reason,ma50_period,ma50_signal_date,ma50_slope_pct,ma50_slope_sessions,ma50_value,matched_spy_return_pct,model_exit_idx,net_excess_vs_spy_pct,net_return_pct,pattern_stop,pivot,positive_ma50_slope,positive_rs_divergence,relative_divergence_pct,rs_divergence_lookback,sector,shares,signal_close,signal_date,spy_lookback_return_pct,stock_lookback_return_pct,stop,symbol
1,,,,30.0,82405315.19,2022-02-23,False,540,40.8514,0.1977262500705325,2022-05-19,40.9197,timeout,7.780965052672306,0.3677262500705325,40.6656,60,37.5833,39.342064,,50,2022-02-22,4.115630537330217,20,40.961238,-7.413238802601773,,7.583238802601773,0.17,34.98,37.07,False,,,,Unknown,87,40.5804,2022-02-22,,,37.5833,HRL
1,,,,30.0,143713373.65,2022-05-06,False,591,34.8693,0.1820682650914982,2022-05-20,32.0477,stop,-2.630036618485665,-7.907931734908502,34.6876,10,32.0798,33.603018,,50,2022-05-05,1.6019870596147179,20,34.141334,-5.277895116422837,,-2.812104883577163,-8.09,32.06,35.0,True,,,,Unknown,100,35.1283,2022-05-05,,,32.0798,WY
1,,,,30.0,72135625.44,2022-06-02,False,609,64.1368,0.18213947204866177,2022-06-10,59.395,stop,-0.5977119889097331,-7.207860527951338,64.5069,6,60.1,62.399300000000004,,50,2022-06-01,1.5414019067521378,20,63.361124,-6.610148539041605,,-0.7798514609583949,-7.39,60.1,63.97,True,,,,Unknown,54,63.8951,2022-06-01,,,60.1,L
1,,,,100.0,459482323.94,2022-05-24,False,603,84.7038,0.189471853777607,2022-06-16,79.3606,stop,0.7951186246305415,-6.120528146222393,87.7807,16,79.44,81.196462,,50,2022-05-23,0.16295537606061394,20,81.328776,-6.915646770852934,,0.6056467708529345,-6.31,79.44,87.06,True,,,,Unknown,113,84.7262,2022-05-23,,,79.44,PM
1,,,,70.0,585744388.68,2022-05-11,False,594,53.9028,0.18202709540352835,2022-06-17,49.541,stop,-1.4637898317655047,-7.9079729045964715,53.2398,26,49.5906,46.377918,,50,2022-05-10,6.8322126922558235,20,49.546556,-6.444183072830967,,-1.645816927169033,-8.09,47.26,52.07,True,,,,Unknown,150,52.4826,2022-05-10,,,49.5906,DVN
1,,,,70.0,852838991.43,2022-05-23,False,602,291.0793,0.2065945580545998,2022-08-18,307.1043,timeout,-2.5516745438694874,5.7165945580546,292.7232,60,272.84,264.34186,,50,2022-05-20,6.278752067493221,20,280.93923,8.268269101924087,,-2.7582691019240873,5.51,272.84,289.73,True,,,,Unknown,27,289.0956,2022-05-20,,,272.84,LLY
1,,,,70.0,560484642.46,2022-11-11,False,599,490.202,0.18200936996823103,2022-11-16,450.5349,stop,-7.140142949920403,-7.907990630031769,463.6946,3,450.9859,451.16464999999994,,50,2022-11-10,2.683180962870213,20,463.27021399999995,-0.7678476801113665,,-7.322152319888634,-8.09,430.01,454.45,True,,,,Unknown,16,492.4962,2022-11-10,,,450.9859,ELV
1,,,,30.0,332298298.97,2022-09-02,False,673,56.7541,0.26820348901021873,2022-11-29,75.3028,timeout,31.771990463015086,32.94820348901022,55.6339,60,52.2138,53.675948,,50,2022-09-01,1.512971880813363,20,54.48805,1.176213025995132,,31.503786974004868,32.68,51.67,55.38,True,,,,Unknown,60,56.6189,2022-09-01,,,52.2138,GILD
1,,,,30.0,37039089.56,2022-10-14,False,702,34.757,0.20340621946571447,2023-01-11,35.0148,timeout,-10.159191953431868,0.9434062194657145,33.3509,60,32.57,34.557838000000004,,50,2022-10-13,-1.0216553477680024,20,34.204776,11.102598172897583,,-10.362598172897583,0.74,32.57,35.07,False,,,,Unknown,98,34.3413,2022-10-13,,,32.57,ROL
1,,,,100.0,295856288.36,2022-12-16,False,746,83.4976,0.19153053505734086,2023-01-20,79.4405,stop,-7.958584031602589,-4.6684694649426595,83.1067,22,79.52,79.295054,,50,2022-12-15,-0.28696115144835055,20,79.067508,3.2901145666599296,,-8.15011456665993,-4.86,79.52,84.67,False,,,,Unknown,50,83.9855,2022-12-15,,,79.52,AEP
1,,,,30.0,1027280322.65,2023-01-17,False,765,188.0829,0.182036369426811,2023-02-01,172.8633,stop,-11.183731999666968,-7.907963630573189,190.69,11,173.0363,158.60399999999998,,50,2023-01-13,13.94491942195657,20,180.72119999999998,3.275768369093779,,-11.365768369093779,-8.09,162.78,188.65,True,,,,Unknown,17,192.0,2023-01-13,,,173.0363,MRNA
1,,,,41.7,370444958.35,2022-11-04,False,717,42.082,0.22466066275390517,2023-02-02,47.6024,timeout,2.093453635910514,13.344660662753904,41.59,60,38.79,41.0214,,50,2022-11-03,-0.5158283237529648,20,40.8098,11.25120702684339,,1.8687929731566086,13.12,38.79,41.57,False,,,,Unknown,114,41.53,2022-11-03,,,38.79,BSX
1,,,,70.0,170396951.07,2022-11-18,False,727,136.9924,0.19258360699221488,2023-02-16,135.1773,timeout,-4.694022379107688,-1.1274163930077852,136.0656,60,126.033,118.532708,,50,2022-11-17,4.384597372060384,20,123.72989,3.566605986099902,,-4.8866059860999025,-1.32,120.67,129.22,True,,,,Unknown,58,135.6382,2022-11-17,,,126.033,DGX
1,,,,50.0,169096845.98,2023-02-17,False,788,107.7003,0.18285006628571754,2023-02-21,100.4694,stop,-4.521040777812679,-6.527149933714282,106.9113,1,100.57,104.731126,,50,2023-02-16,0.1965681148123899,20,104.936994,-2.006109155901603,,-4.703890844098397,-6.71,100.57,107.19,True,,,,Unknown,53,107.6791,2023-02-16,,,100.57,EXPD
1,,,,70.0,184574651.01,2022-12-07,False,739,65.6781,0.19490103572902528,2023-03-07,63.6099,timeout,-4.71996722579664,-2.9550989642709746,65.9459,60,60.4239,55.726046,,50,2022-12-06,7.3256982919620794,20,59.808368,1.764868261525665,,-4.914868261525665,-3.15,51.8,55.29,True,,,,Unknown,123,65.844,2022-12-06,,,60.4239,AFL
1,,,,75.0,116313745.76,2023-02-01,False,776,54.733,0.18723621946539737,2023-03-10,51.4485,stop,0.24616589468976446,-5.812763780534603,54.945,26,51.5,51.78432,,50,2023-01-31,3.8574688245399225,20,53.781884,-6.058929675224367,,0.058929675224367095,-6.0,51.5,56.63,True,,,,Unknown,137,55.0517,2023-01-31,,,51.5,PEG
1,,,,100.0,398001774.95,2023-02-24,False,792,92.7182,0.19539145490307241,2023-03-10,88.7811,stop,-1.413189614518962,-4.054608545096928,92.9241,10,88.87,91.16109200000001,,50,2023-02-23,0.9617524107762954,20,92.03783600000001,-2.6414189305779656,,-1.6085810694220344,-4.25,88.87,93.63,True,,,,Unknown,100,92.9428,2023-02-23,,,88.87,RTX
1,,,,30.0,115924017.21,2023-02-08,False,781,349.0471,0.18924601355008352,2023-03-13,326.8539,stop,-0.012222199538746814,-6.170753986449917,348.9629,22,331.04,341.800314,,50,2023-02-07,0.7607277973419313,20,344.400484,-6.15853178691117,,-0.20146821308883034,-6.36,331.04,351.21,True,,,,Unknown,9,351.177,2023-02-07,,,331.04,MLM
1,,,,70.0,551688595.36,2022-12-22,False,750,86.1548,0.19490494296754157,2023-03-22,81.9199,timeout,-8.109876273734107,-4.725095057032458,86.3684,60,79.2624,76.051684,,50,2022-12-21,5.380330565724245,20,80.143516,3.384781216701649,,-8.304781216701649,-4.92,77.97,85.19,True,,,,Unknown,2,86.0772,2022-12-21,,,79.2624,PM
1,,,,30.0,810625291.32,2023-04-05,False,820,116.5074,0.1897291159703549,2023-04-06,108.8211,stop,-6.800350326196358,-6.410270884029645,114.1817,1,108.93,107.693254,,50,2023-04-04,6.003237677264361,20,114.158336,0.3900794421667131,,-6.990079442166713,-6.6,108.93,118.25,True,,,,Unknown,28,116.9068,2023-04-04,,,108.93,AMAT
1,,,,30.0,575385100.93,2023-04-06,False,821,124.2976,0.18196919933086964,2023-04-26,114.2394,stop,-6.727673931065481,-7.90803080066913,120.1852,13,114.3538,114.619032,,50,2023-04-05,3.4015049088880644,20,118.517804,-1.1803568696036493,,-6.909643130396351,-8.09,113.82,125.28,True,,,,Unknown,27,123.9492,2023-04-05,,,114.3538,MPC
