date,equity,cash,positions,gross_exposure_pct,portfolio_return,spy_return,excess_return,exposure_matched_spy_return,exposure_matched_excess_return
2017-08-10,103866.0,103866.0,0,0.0,0.0,-0.0141155,0.0141155,-0.0,0.0
2017-08-11,103866.0,103866.0,0,0.0,0.0,0.0014774,-0.0014774,0.0,0.0
2017-08-14,103866.0,103866.0,0,0.0,0.0,0.00991275,-0.00991275,0.0,0.0
2017-08-15,103866.0,103866.0,0,0.0,0.0,-0.00012181,0.00012181,-0.0,0.0
2017-08-16,103866.0,103866.0,0,0.0,0.0,0.0017447,-0.0017447,0.0,0.0
2017-08-17,103866.0,103866.0,0,0.0,0.0,-0.01559113,0.01559113,-0.0,0.0
2017-08-18,103866.0,103866.0,0,0.0,0.0,-0.00156336,0.00156336,-0.0,0.0
2017-08-21,103866.0,103866.0,0,0.0,0.0,0.00078314,-0.00078314,0.0,0.0
2017-08-22,103866.0,103866.0,0,0.0,0.0,0.01045707,-0.01045707,0.0,0.0
2017-08-23,103866.0,103866.0,0,0.0,0.0,-0.00358572,0.00358572,-0.0,0.0
2017-08-24,103866.0,103866.0,0,0.0,0.0,-0.00233071,0.00233071,-0.0,0.0
2017-08-25,103866.0,103866.0,0,0.0,0.0,0.00233615,-0.00233615,0.0,0.0
2017-08-28,103866.0,103866.0,0,0.0,0.0,4.093e-05,-4.093e-05,0.0,0.0
2017-08-29,103866.0,103866.0,0,0.0,0.0,0.00114508,-0.00114508,0.0,0.0
2017-08-30,103866.0,103866.0,0,0.0,0.0,0.00473719,-0.00473719,0.0,0.0
2017-08-31,103866.0,103866.0,0,0.0,0.0,0.00601645,-0.00601645,0.0,0.0
2017-09-01,103866.0,103866.0,0,0.0,0.0,0.00141423,-0.00141423,0.0,0.0
2017-09-05,103866.0,103866.0,0,0.0,0.0,-0.00718184,0.00718184,-0.0,0.0
2017-09-06,103866.0,103866.0,0,0.0,0.0,0.00341349,-0.00341349,0.0,0.0
2017-09-07,103866.0,103866.0,0,0.0,0.0,-0.00012163,0.00012163,-0.0,0.0
2017-09-08,103866.0,103866.0,0,0.0,0.0,-0.00117496,0.00117496,-0.0,0.0
2017-09-11,103866.0,103866.0,0,0.0,0.0,0.01066637,-0.01066637,0.0,0.0
2017-09-12,103866.0,103866.0,0,0.0,0.0,0.00337035,-0.00337035,0.0,0.0
2017-09-13,103866.0,103866.0,0,0.0,0.0,0.00048039,-0.00048039,0.0,0.0
2017-09-14,103866.0,103866.0,0,0.0,0.0,-0.0003201,0.0003201,-0.0,0.0
2017-09-15,103866.0,103866.0,0,0.0,0.0,0.00134616,-0.00134616,0.0,0.0
2017-09-18,103866.0,103866.0,0,0.0,0.0,0.00212679,-0.00212679,0.0,0.0
2017-09-19,103866.0,103866.0,0,0.0,0.0,0.00100131,-0.00100131,0.0,0.0
2017-09-20,103866.0,103866.0,0,0.0,0.0,0.00036,-0.00036,0.0,0.0
2017-09-21,103866.0,103866.0,0,0.0,0.0,-0.00267934,0.00267934,-0.0,0.0
2017-09-22,103866.0,103866.0,0,0.0,0.0,0.00020062,-0.00020062,0.0,0.0
2017-09-25,103866.0,103866.0,0,0.0,0.0,-0.00204479,0.00204479,-0.0,0.0
2017-09-26,103866.0,103866.0,0,0.0,0.0,0.00060251,-0.00060251,0.0,0.0
2017-09-27,103866.0,103866.0,0,0.0,0.0,0.00389462,-0.00389462,0.0,0.0
2017-09-28,103866.0,103866.0,0,0.0,0.0,0.00119961,-0.00119961,0.0,0.0
2017-09-29,103866.0,103866.0,0,0.0,0.0,0.00351496,-0.00351496,0.0,0.0
2017-10-02,103866.0,103866.0,0,0.0,0.0,0.00433889,-0.00433889,0.0,0.0
2017-10-03,103866.0,103866.0,0,0.0,0.0,0.00213988,-0.00213988,0.0,0.0
2017-10-04,103866.0,103866.0,0,0.0,0.0,0.00118628,-0.00118628,0.0,0.0
2017-10-05,103866.0,103866.0,0,0.0,0.0,0.00592529,-0.00592529,0.0,0.0
2017-10-06,103866.0,103866.0,0,0.0,0.0,-0.00113878,0.00113878,-0.0,0.0
2017-10-09,103866.0,103866.0,0,0.0,0.0,-0.00165094,0.00165094,-0.0,0.0
2017-10-10,103866.0,103866.0,0,0.0,0.0,0.00263829,-0.00263829,0.0,0.0
2017-10-11,103866.0,103866.0,0,0.0,0.0,0.00157108,-0.00157108,0.0,0.0
2017-10-12,103866.0,103866.0,0,0.0,0.0,-0.0014905,0.0014905,-0.0,0.0
2017-10-13,103866.0,103866.0,0,0.0,0.0,0.00121756,-0.00121756,0.0,0.0
2017-10-16,103866.0,103866.0,0,0.0,0.0,0.00133373,-0.00133373,0.0,0.0
2017-10-17,103866.0,103866.0,0,0.0,0.0,0.00070544,-0.00070544,0.0,0.0
2017-10-18,103866.0,103866.0,0,0.0,0.0,0.00097832,-0.00097832,0.0,0.0
2017-10-19,103866.0,103866.0,0,0.0,0.0,0.00027355,-0.00027355,0.0,0.0
2017-10-20,103866.0,103866.0,0,0.0,0.0,0.00516075,-0.00516075,0.0,0.0
2017-10-23,103866.0,103866.0,0,0.0,0.0,-0.00388965,0.00388965,-0.0,0.0
2017-10-24,103866.0,103866.0,0,0.0,0.0,0.00175729,-0.00175729,0.0,0.0
2017-10-25,103866.0,103866.0,0,0.0,0.0,-0.00495025,0.00495025,-0.0,0.0
2017-10-26,103866.0,103866.0,0,0.0,0.0,0.00129249,-0.00129249,0.0,0.0
2017-10-27,103866.0,103866.0,0,0.0,0.0,0.00817625,-0.00817625,0.0,0.0
2017-10-30,103866.0,103866.0,0,0.0,0.0,-0.00372511,0.00372511,-0.0,0.0
2017-10-31,103866.0,103866.0,0,0.0,0.0,0.00155804,-0.00155804,0.0,0.0
2017-11-01,103866.0,103866.0,0,0.0,0.0,0.00132232,-0.00132232,0.0,0.0
