symbol,sector,entry_date,entry_idx,entry_price,shares,stop,initial_stop,pivot,edge_rank,pattern_stop,attempt,diagnostic_exit_idx,model_exit_idx,entry_day_stop,signal_date,entry_adv_dollars,highest_close,exit_date,exit_price,exit_reason,net_return_pct
IVZ,Unknown,2017-03-09,676,21.1581,179,19.53,19.53,20.63,30.0,19.53,1,,679.0,False,2017-03-08,67230707.94,21.1043,2017-03-14,20.6061,model_decay,-2.61
TDC,Unknown,2017-03-13,678,31.3813,120,28.9,28.9,31.13,30.0,28.9,2,,680.0,False,2017-03-10,53981702.8,30.99,2017-03-15,31.0789,model_decay,-0.96
IVZ,Unknown,2017-03-16,681,21.4659,176,19.7487,19.7487,20.63,30.0,19.53,2,,684.0,False,2017-03-15,67532326.75,21.3791,2017-03-21,20.4754,model_decay,-4.61
NTAP,Unknown,2017-02-24,667,32.1574,117,29.5848,29.5848,29.32,30.0,27.58,1,,686.0,False,2017-02-23,93399732.74,32.3544,2017-03-23,32.3299,model_decay,0.54
QRVO,Unknown,2017-03-13,551,67.1971,56,61.8214,61.8214,56.97,30.0,52.82,3,,559.0,False,2017-03-10,86066391.45,67.68,2017-03-23,66.3835,model_decay,-1.21
TDC,Unknown,2017-03-31,692,31.3013,120,28.9,28.9,31.13,30.0,28.9,3,,695.0,False,2017-03-30,42096416.2,31.12,2017-04-05,30.4995,model_decay,-2.56
NTAP,Unknown,2017-03-31,692,33.0986,114,30.4507,30.4507,29.32,30.0,27.58,2,,696.0,False,2017-03-30,93913680.88,33.0655,2017-04-06,32.6224,model_decay,-1.44
VRTX,Unknown,2017-05-10,719,116.6665,32,107.3332,107.3332,95.0,30.0,88.9,1,,721.0,False,2017-05-09,203628784.25,115.35,2017-05-12,115.0049,model_decay,-1.42
ADI,Unknown,2017-06-09,740,70.4008,54,64.7688,64.7688,67.52,30.0,62.95,1,,742.0,False,2017-06-08,343102540.38,66.6584,2017-06-13,67.9049,model_decay,-3.55
ADI,Unknown,2017-06-26,751,69.569,55,64.0035,64.0035,67.52,30.0,62.95,2,,753.0,False,2017-06-23,405373675.63,68.3291,2017-06-28,66.5494,model_decay,-4.34
IVZ,Unknown,2017-04-25,708,21.1516,178,19.53,19.53,20.63,30.0,19.53,3,,,False,2017-04-24,56234546.2,21.0454,2017-07-20,23.9432,timeout,13.2
