symbol,sector,entry_date,entry_idx,entry_price,shares,stop,initial_stop,pivot,edge_rank,pattern_stop,attempt,diagnostic_exit_idx,model_exit_idx,entry_day_stop,signal_date,entry_adv_dollars,highest_close,exit_date,exit_price,exit_reason,net_return_pct
MAR,Unknown,2017-01-04,632,76.2266,53,70.1284,70.1284,64.84,33.3,60.42,1,,634.0,False,2017-01-03,229649957.35,75.7822,2017-01-06,75.2008,model_decay,-1.35
RF,Unknown,2016-12-16,621,10.2702,829,9.4485,9.4485,7.06,70.0,6.56,1,,635.0,False,2016-12-15,256781570.95,9.9925,2017-01-09,10.081,model_decay,-1.84
KEY,Unknown,2017-01-05,633,12.338,690,11.351,11.351,8.4,70.0,7.9,2,,635.0,False,2017-01-04,150115624.75,12.2055,2017-01-09,12.1666,model_decay,-1.39
HRB,Unknown,2017-01-09,635,16.5919,219,15.2645,15.2645,16.23,30.0,14.3,1,,637.0,False,2017-01-06,49551575.75,16.2989,2017-01-11,16.3103,model_decay,-1.7
HUM,Unknown,2017-01-10,636,186.3579,19,171.4492,171.4492,163.24,30.0,151.88,1,,638.0,False,2017-01-09,245315137.18,185.204,2017-01-12,187.6152,model_decay,0.67
HRB,Unknown,2017-01-12,638,16.3567,222,15.0482,15.0482,16.23,30.0,14.3,2,,640.0,False,2017-01-11,38813740.58,16.4095,2017-01-17,16.4276,model_decay,0.43
EMN,Unknown,2017-01-18,641,56.0676,64,51.5822,51.5822,49.68,30.0,45.47,1,,645.0,False,2017-01-17,58740792.61,55.9971,2017-01-24,55.999,model_decay,-0.12
AXP,Unknown,2017-01-23,644,66.8445,54,61.4969,61.4969,59.5,30.0,56.96,1,,648.0,False,2017-01-20,303783287.23,66.8217,2017-01-27,67.6599,model_decay,1.22
HRB,Unknown,2017-01-19,642,16.3567,222,15.0482,15.0482,16.23,30.0,14.3,3,,,False,2017-01-18,30120441.89,16.0778,2017-01-30,15.0332,stop,-8.09
EMN,Unknown,2017-01-26,647,57.6506,63,53.0385,53.0385,49.68,30.0,45.47,2,,653.0,False,2017-01-25,69295986.1,58.2459,2017-02-03,56.3469,model_decay,-2.26
