attempt,diagnostic_exit_idx,divergence_missing_reason,divergence_signal_date,edge_rank,entry_adv_dollars,entry_date,entry_day_stop,entry_idx,entry_price,estimated_cost_drag_pct,exit_date,exit_price,exit_reason,gross_excess_vs_spy_pct,gross_return_pct,highest_close,hold_sessions,initial_stop,ma50_20_sessions_ago,ma50_missing_reason,ma50_period,ma50_signal_date,ma50_slope_pct,ma50_slope_sessions,ma50_value,matched_spy_return_pct,model_exit_idx,net_excess_vs_spy_pct,net_return_pct,pattern_stop,pivot,positive_ma50_slope,positive_relative_ma50_slope,positive_relative_ma_slope,positive_rs_divergence,relative_divergence_pct,relative_ma50_missing_reason,relative_ma50_period,relative_ma50_signal_date,relative_ma50_slope_pct,relative_ma50_slope_sessions,relative_ma_missing_reason,relative_ma_period,relative_ma_signal_date,relative_ma_slope_pct,relative_ma_slope_sessions,rs_divergence_lookback,sector,shares,signal_close,signal_date,spy_lookback_return_pct,spy_ma50_20_sessions_ago,spy_ma50_slope_pct,spy_ma50_value,spy_ma_20_sessions_ago,spy_ma_slope_pct,spy_ma_value,stock_lookback_return_pct,stock_ma50_20_sessions_ago,stock_ma50_slope_pct,stock_ma50_value,stock_ma_20_sessions_ago,stock_ma_slope_pct,stock_ma_value,stock_signal_close,stop,symbol
1,,,,82.72421657745635,66086612.92,2017-06-16,False,311,20.2903,0.18010298959057103,2017-06-21,18.6298,stop,-8.127644482014784,-7.999897010409429,19.68,3,18.6484,,,,,,,,0.12774747160535505,,-8.307747471605355,-8.18,0.0,,,,True,,,,,,,,,60,2017-06-15,0.2242165774563487,20,,Unknown,603,,2017-06-15,,,,,204.5492966666665,0.8150757268960973,206.2165283333332,,,,,18.426000000000023,1.039292304352446,18.617500000000003,20.33,18.6484,UA
1,,,,82.92077297339567,458793138.86,2017-04-19,False,704,27.6885,0.21174569209582028,2017-07-14,28.949,timeout,-0.9431876376714499,4.76174569209582,27.4487,60,25.4479,,,,,,,,5.70493332976727,,-1.1549333297672701,4.55,0.0,,,,True,,,,,,,,,60,2017-04-18,0.42077297339566666,20,,Communication Services,421,,2017-04-18,,,,,199.09725166666686,1.4010548329099537,201.88671333333357,,,,,26.840626666666626,1.8218278063056204,27.329616666666638,27.4925,25.4479,CMCSA
1,,,,87.37445125222803,269144592.71,2017-04-21,False,706,14.6667,0.21927757412342785,2017-07-18,16.0659,timeout,4.529727290706421,9.759277574123427,14.9284,60,13.4798,,,,,,,,5.229550283417006,,4.310449716582993,9.54,0.0,,,,True,,,,,,,,,60,2017-04-20,4.874451252228029,20,,Industrials,634,,2017-04-20,,,,,199.36846166666703,1.3859973857283103,202.13170333333377,,,,,13.147646666666681,6.2604486379563395,13.970748333333328,14.5726,13.4798,CSX
1,,,,84.5513093866275,67861326.85,2017-05-05,False,716,45.2199,0.20897434251003322,2017-08-01,47.6067,timeout,1.8068638131122805,5.4889743425100335,45.1126,60,41.5607,,,,,,,,3.682110529397753,,1.5978894706022473,5.28,0.0,,,,True,,,,,,,,,60,2017-05-04,2.051309386627498,20,,Consumer Staples,262,,2017-05-04,,,,,200.86205500000045,1.3815551175158314,203.63707500000044,,,,,42.71219166666639,3.432864504143329,44.17844333333305,45.1748,41.5607,CHD
1,,,,83.59356310477952,92481100.36,2017-06-02,False,735,75.0021,0.2007535418504265,2017-08-28,76.5295,timeout,1.5884809103577036,2.2407535418504265,75.8378,60,68.933,,,,,,,,0.652272631492723,,1.387727368507277,2.04,0.0,,,,True,,,,,,,,,60,2017-06-01,1.093563104779527,20,,Information Technology,164,,2017-06-01,,,,,203.4812250000005,0.8160204133493831,205.1416733333339,,,,,72.03542833333329,1.90958351812891,73.41100500000017,74.9797,68.933,MSI
1,,,,83.69691303024945,83714285.58,2017-06-05,False,736,30.5929,0.20753472335208967,2017-08-29,31.7584,timeout,3.1756599099378224,4.01753472335209,30.1458,60,28.1173,,,,,,,,0.8418748134142673,,2.9681251865857328,3.81,0.0,,,,True,,,,,,,,,60,2017-06-02,1.1969130302494468,20,,Consumer Discretionary,404,,2017-06-02,,,,,203.63707500000044,0.7999861190961965,205.26614333333393,,,,,29.448908333333385,1.9968991493456434,30.0369733333333,30.5985,28.1173,DHI
1,,,,82.65247822480207,6726922.04,2017-06-08,False,739,12.4685,0.19605422802598316,2017-09-01,12.3983,timeout,-2.5251770700597587,-0.3639457719740169,12.6372,60,11.4595,,,,,,,,2.1612312980857418,,-2.721231298085742,-0.56,0.0,,,,True,,,,,,,,,60,2017-06-07,0.1524782248020662,20,,Communication Services,982,,2017-06-07,,,,,204.07594000000026,0.7356877379405047,205.5773016666671,,,,,11.851013333333231,0.8881659627425709,11.95626999999998,12.5013,11.4595,NWS
1,,,,82.64089373244741,230025145.39,2017-06-08,False,739,31.9375,0.20020678212458357,2017-09-01,31.9885,timeout,-1.8010245159611582,0.36020678212458357,31.9675,60,29.3532,,,,,,,,2.1612312980857418,,-2.0012312980857416,0.16,0.0,,,,True,,,,,,,,,60,2017-06-07,0.14089373244741132,20,,Consumer Discretionary,383,,2017-06-07,,,,,204.07594000000026,0.7356877379405047,205.5773016666671,,,,,29.68387333333318,0.876581470387916,29.9440766666666,31.6402,29.3532,EBAY
1,,,,82.55984514040962,22475347.03,2017-06-08,False,739,12.1807,0.19958992841470224,2017-09-01,12.0931,timeout,-2.6816413696710395,-0.5204100715852977,12.2046,60,11.195,,,,,,,,2.1612312980857418,,-2.8812312980857415,-0.72,0.0,,,,True,,,,,,,,,60,2017-06-07,0.05984514040962008,20,,Communication Services,1006,,2017-06-07,,,,,204.07594000000026,0.7356877379405047,205.5773016666671,,,,,11.501515000000078,0.7955328783501248,11.59301333333345,12.0691,11.195,NWSA
1,,,,82.7524692320251,56084527.39,2017-06-16,False,745,22.8283,0.19247170121019597,2017-09-12,21.5621,timeout,-8.411423126676876,-5.357528298789804,22.8451,60,20.9811,,,,,,,,3.0538948278870715,,-8.603894827887071,-5.55,0.0,,,,True,,,,,,,,,60,2017-06-15,0.25246923202510985,20,,Financials,536,,2017-06-15,,,,,204.54929666666746,0.8150757268958086,206.21652833333354,,,,,20.704826666666637,1.0675449589209185,20.92585999999995,22.8253,20.9811,IVZ
