symbol,sector,entry_date,entry_idx,entry_price,shares,stop,initial_stop,pivot,edge_rank,pattern_stop,attempt,diagnostic_exit_idx,model_exit_idx,entry_day_stop,signal_date,entry_adv_dollars,highest_close,exit_date,exit_price,exit_reason,net_return_pct
AXP,Unknown,2016-12-07,614,63.5359,57,58.453,58.453,59.5,30.0,56.96,2,,618.0,False,2016-12-06,299222545.17,65.0665,2016-12-13,64.459,model_decay,1.45
VLO,Unknown,2016-12-07,614,44.6814,47,41.1069,41.1069,37.76,30.0,35.89,3,,618.0,False,2016-12-06,257907752.5,46.474,2016-12-13,45.6163,model_decay,2.09
RF,Unknown,2016-12-02,611,9.6764,878,8.9023,8.9023,7.06,70.0,6.56,2,,619.0,False,2016-12-01,261006653.49,9.6247,2016-12-14,9.9474,model_decay,2.8
DOV,Unknown,2016-12-02,611,52.3526,69,48.1644,48.1644,49.88,30.0,48.0,2,,620.0,False,2016-12-01,111035977.57,51.6889,2016-12-15,52.1925,model_decay,-0.31
APA,Unknown,2016-12-09,616,52.3182,2,48.1327,48.1327,50.13,85.0,45.19,1,,620.0,False,2016-12-08,175476288.64,51.8144,2016-12-15,50.8993,model_decay,-2.71
MAR,Unknown,2016-11-23,605,71.4912,56,65.7719,65.7719,64.84,33.3,60.42,2,,626.0,False,2016-11-22,241086362.84,71.8615,2016-12-23,76.9845,model_decay,7.68
AXP,Unknown,2016-12-16,621,66.0082,55,60.7276,60.7276,59.5,30.0,56.96,3,,629.0,False,2016-12-15,252429013.26,65.6883,2016-12-29,64.984,model_decay,-1.55
APA,Unknown,2016-12-21,624,52.5286,192,48.3263,48.3263,50.13,85.0,45.19,2,,629.0,False,2016-12-20,175153259.79,51.8767,2016-12-29,50.0439,model_decay,-4.73
RF,Unknown,2016-12-28,628,10.3195,451,9.4939,9.4939,7.06,70.0,6.56,3,,629.0,False,2016-12-27,224472361.71,10.1544,2016-12-29,10.1583,model_decay,-1.56
KEY,Unknown,2016-12-01,610,11.6429,729,10.7115,10.7115,8.4,70.0,7.9,1,,630.0,False,2016-11-30,209027704.69,11.9251,2016-12-30,12.12,model_decay,4.1
AZO,Unknown,2016-12-21,624,809.3185,4,744.573,744.573,783.33,30.0,720.45,3,,631.0,False,2016-12-20,256207494.45,803.62,2017-01-03,794.7844,model_decay,-1.8
EMN,Unknown,2017-01-06,634,56.3653,64,51.8561,51.8561,49.68,30.0,45.47,1,,636.0,False,2017-01-05,66456236.33,56.2219,2017-01-10,55.673,model_decay,-1.23
RF,Unknown,2017-01-04,632,10.235,355,9.4162,9.4162,7.06,30.0,6.56,3,,641.0,False,2017-01-03,211457778.15,10.2881,2017-01-18,9.7576,model_decay,-4.66
KEY,Unknown,2017-01-12,638,12.358,688,11.3694,11.3694,8.4,70.0,7.9,2,,641.0,False,2017-01-11,141994921.1,12.2122,2017-01-18,11.8998,model_decay,-3.71
EMN,Unknown,2017-01-12,638,57.1568,63,52.5843,52.5843,49.68,30.0,45.47,2,,641.0,False,2017-01-11,62521767.74,56.8168,2017-01-18,55.9556,model_decay,-2.1
HRB,Unknown,2017-01-06,634,16.4259,221,15.1118,15.1118,16.23,30.0,14.3,2,,643.0,False,2017-01-05,53063683.26,16.5822,2017-01-20,16.1032,model_decay,-1.96
HUM,Unknown,2017-01-06,634,184.7097,19,169.9329,169.9329,163.24,30.0,151.88,3,,644.0,False,2017-01-05,260508275.99,185.6572,2017-01-23,184.9636,model_decay,0.14
EMN,Unknown,2017-01-24,645,56.1112,64,51.6223,51.6223,49.68,30.0,45.47,3,,649.0,False,2017-01-23,64249120.53,56.7443,2017-01-30,55.7961,model_decay,-0.56
DOV,Unknown,2017-01-05,633,53.2082,68,48.9515,48.9515,49.88,30.0,48.0,3,,650.0,False,2017-01-04,61729823.94,53.1758,2017-01-31,54.3165,model_decay,2.08
KEY,Unknown,2017-01-26,647,12.318,687,11.3326,11.3326,8.4,70.0,7.9,3,,650.0,False,2017-01-25,147395879.93,12.319,2017-01-31,12.0532,model_decay,-2.15
HAS,Unknown,2017-02-07,655,68.6853,52,63.1905,63.1905,60.89,30.0,58.81,2,,667.0,False,2017-02-06,127302648.27,69.1262,2017-02-24,70.4312,model_decay,2.54
IVZ,Unknown,2017-02-13,659,20.7919,174,19.53,19.53,20.63,30.0,19.53,1,,668.0,False,2017-02-10,70267847.99,20.823,2017-02-27,21.3185,model_decay,2.53
ULTA,Unknown,2017-03-03,672,277.6574,13,255.4448,255.4448,273.99,30.0,248.55,1,,675.0,False,2017-03-02,136030578.6,278.15,2017-03-08,270.2295,model_decay,-2.68
NTAP,Unknown,2017-02-23,666,32.2681,112,29.6867,29.6867,29.32,30.0,27.58,1,,676.0,False,2017-02-22,93020567.57,32.3465,2017-03-09,33.1192,model_decay,2.64
IVZ,Unknown,2017-03-17,682,21.4266,169,19.7125,19.7125,20.63,30.0,19.53,2,,683.0,False,2017-03-16,66494985.56,20.4305,2017-03-20,20.3774,model_decay,-4.9
QRVO,Unknown,2017-03-14,552,67.5174,53,62.1161,62.1161,56.97,30.0,52.82,1,,558.0,False,2017-03-13,85694835.3,67.85,2017-03-22,65.3846,model_decay,-3.16
TDC,Unknown,2017-03-17,682,31.4014,115,28.9,28.9,31.13,30.0,28.9,1,,685.0,False,2017-03-16,51272937.7,30.76,2017-03-22,30.2198,model_decay,-3.76
TDC,Unknown,2017-03-31,692,31.3013,115,28.9,28.9,31.13,30.0,28.9,2,,694.0,False,2017-03-30,42096416.2,31.12,2017-04-04,30.3796,model_decay,-2.94
HAS,Unknown,2017-03-14,679,71.308,50,65.6034,65.6034,60.89,30.0,58.81,3,,695.0,False,2017-03-13,84069297.98,71.4552,2017-04-05,71.2601,model_decay,-0.07
NTAP,Unknown,2017-03-30,691,32.8454,110,30.2178,30.2178,29.32,30.0,27.58,2,,699.0,False,2017-03-29,95533183.69,33.105,2017-04-11,32.0436,model_decay,-2.44
NTAP,Unknown,2017-04-21,706,32.0442,113,29.4807,29.4807,29.32,30.0,27.58,3,,707.0,False,2017-04-20,98099922.05,31.3454,2017-04-24,31.7899,model_decay,-0.79
TDC,Unknown,2017-04-21,706,31.9119,113,29.3589,29.3589,31.13,30.0,28.9,3,,707.0,False,2017-04-20,35560206.0,31.06,2017-04-24,31.5784,model_decay,-1.05
VRTX,Unknown,2017-04-07,697,114.4643,31,105.3072,105.3072,95.0,30.0,88.9,1,,710.0,False,2017-04-06,247588485.7,115.88,2017-04-27,115.884,model_decay,1.24
QRVO,Unknown,2017-03-27,561,67.027,54,61.6648,61.6648,56.97,30.0,52.82,2,,585.0,False,2017-03-24,90093568.3,68.37,2017-05-01,68.1917,model_decay,1.74
IVZ,Unknown,2017-04-26,709,21.0272,172,19.53,19.53,20.63,30.0,19.53,3,,714.0,False,2017-04-25,55298307.75,21.222,2017-05-03,21.2008,model_decay,0.83
MLM,Unknown,2017-05-03,714,222.9662,16,205.1289,205.1289,209.81,30.0,192.34,1,,718.0,False,2017-05-02,134542283.62,223.2761,2017-05-09,219.0299,model_decay,-1.77
VRSN,Unknown,2017-02-22,665,81.5752,103,75.0492,75.0492,81.64,70.0,73.49,1,,,False,2017-02-21,89331166.12,80.9618,2017-05-18,86.7558,timeout,6.35
VRTX,Unknown,2017-05-10,719,116.6665,31,107.3332,107.3332,95.0,30.0,88.9,2,,729.0,False,2017-05-09,203628784.25,115.35,2017-05-24,116.7431,model_decay,0.07
REGN,Unknown,2017-05-03,714,399.1056,9,367.1772,367.1772,393.43,30.0,358.99,1,,733.0,False,2017-05-02,330738292.28,403.6957,2017-05-31,446.1845,model_decay,11.8
ADI,Unknown,2017-06-01,734,72.8333,50,67.0066,67.0066,67.52,30.0,62.95,1,,735.0,False,2017-05-31,274306455.74,69.3283,2017-06-02,68.7535,model_decay,-5.6
VRTX,Unknown,2017-05-30,732,119.6395,30,110.0684,110.0684,95.0,30.0,88.9,3,,739.0,False,2017-05-26,188201604.95,120.39,2017-06-08,124.875,model_decay,4.38
EW,Unknown,2017-04-27,710,36.323,99,33.4171,33.4171,32.16,30.0,30.81,1,,741.0,False,2017-04-26,177359292.86,36.5567,2017-06-12,38.6114,model_decay,6.3
REGN,Unknown,2017-06-02,735,463.3398,18,426.2726,426.2726,393.43,70.0,358.99,2,,741.0,False,2017-06-01,406831851.43,476.4944,2017-06-12,470.8558,model_decay,1.62
ADI,Unknown,2017-06-08,739,69.0171,52,63.4958,63.4958,67.52,30.0,62.95,2,,741.0,False,2017-06-07,343121090.31,69.915,2017-06-12,66.0919,model_decay,-4.24
ADI,Unknown,2017-06-14,743,69.3483,52,63.8004,63.8004,67.52,30.0,62.95,3,,745.0,False,2017-06-13,364500182.74,68.6429,2017-06-16,67.9304,model_decay,-2.04
