symbol,sector,entry_date,entry_idx,entry_price,shares,stop,initial_stop,pivot,edge_rank,pattern_stop,attempt,diagnostic_exit_idx,model_exit_idx,signal_date,entry_adv_dollars,highest_close,exit_date,exit_price,exit_reason,net_return_pct
CRM,Unknown,2020-10-19,704,255.5978,33,235.15,235.15,193.16,70.0,188.46,2,,709.0,2020-10-16,1161084564.42,250.6732,2020-10-26,240.8873,model_decay,-5.76
INTU,Unknown,2020-10-20,705,325.1757,13,299.1616,299.1616,300.41,35.0,286.06,2,,710.0,2020-10-19,366485070.61,321.164,2020-10-27,317.083,model_decay,-2.49
AVGO,Unknown,2020-10-20,705,33.5396,108,30.8564,30.8564,28.56,30.0,26.79,1,,710.0,2020-10-19,545388789.61,33.5044,2020-10-27,32.4223,model_decay,-3.33
COF,Unknown,2020-10-21,706,69.7209,43,64.1432,64.1432,65.11,30.0,57.41,1,,711.0,2020-10-20,173197016.75,66.7622,2020-10-28,64.9494,model_decay,-6.84
PPG,Unknown,2020-10-22,707,120.1963,30,110.5806,110.5806,110.22,30.0,104.6,1,,712.0,2020-10-21,163290530.64,119.229,2020-10-29,111.1008,model_decay,-7.57
SHW,Unknown,2020-08-11,656,207.236,17,190.6571,190.6571,187.89,30.0,174.79,1,,,2020-08-10,301479232.1,206.2072,2020-11-04,224.8406,timeout,8.49
EMN,Unknown,2020-10-28,711,65.3871,147,60.1562,60.1562,61.8,80.0,56.98,1,,716.0,2020-10-27,49662962.92,65.4115,2020-11-04,68.5291,model_decay,4.81
ZBRA,Unknown,2020-11-19,727,336.346,6,309.4383,309.4383,304.57,30.0,281.02,1,,728.0,2020-11-18,114266338.25,358.39,2020-11-20,363.0566,model_decay,7.94
INTU,Unknown,2020-11-19,727,339.4475,12,312.2917,312.2917,300.41,35.0,286.06,3,,732.0,2020-11-18,355079556.38,347.0196,2020-11-27,339.4694,model_decay,0.01
CRM,Unknown,2020-11-27,732,246.9781,16,227.2199,227.2199,193.16,70.0,188.46,3,,737.0,2020-11-25,1704207726.47,243.4187,2020-12-02,221.4238,stop,-10.35
EMN,Unknown,2020-11-25,731,83.2022,32,76.546,76.546,61.8,80.0,56.98,2,,736.0,2020-11-24,65481767.51,81.3589,2020-12-03,80.1379,model_decay,-3.68
TER,Unknown,2020-12-02,552,112.2327,36,103.2541,103.2541,91.15,70.0,83.16,1,,556.0,2020-12-01,156052297.81,111.5918,2020-12-08,114.366,model_decay,1.9
KEY,Unknown,2020-12-04,737,12.4405,232,11.4453,11.4453,10.15,33.3,8.9,1,,740.0,2020-12-03,109075299.24,12.4281,2020-12-09,12.4773,model_decay,0.3
HSIC,Unknown,2020-12-21,748,66.7967,4,61.453,61.453,68.19,30.0,59.44,1,,753.0,2020-12-18,58319006.8,66.46,2020-12-29,66.8131,model_decay,0.02
ACN,Unknown,2020-12-30,754,236.1421,1,217.2507,217.2507,214.05,70.0,193.75,1,,760.0,2020-12-29,501105028.27,234.8757,2021-01-08,240.3533,model_decay,1.78
DD,Unknown,2021-01-14,764,92.9867,1,85.5478,85.5478,67.79,30.0,62.19,1,,769.0,2021-01-13,703704187.1,93.4481,2021-01-22,90.4052,model_decay,-2.78
ALGN,Unknown,2020-10-28,711,448.2578,22,412.3972,412.3972,316.28,85.0,289.52,1,,,2020-10-27,371932019.95,439.51,2021-01-26,540.7287,timeout,20.63
AVY,Unknown,2020-10-28,711,122.5658,26,112.7606,112.7606,108.05,66.7,98.58,1,,,2020-10-27,74168442.94,122.4162,2021-01-26,142.5394,timeout,16.3
QRVO,Unknown,2021-01-12,762,184.0238,6,169.3019,169.3019,140.69,30.0,124.56,2,,,2021-01-11,198293521.5,182.32,2021-01-27,169.1326,stop,-8.09
LRCX,Unknown,2021-01-26,771,53.9495,71,49.6335,49.6335,36.01,30.0,31.42,1,,776.0,2021-01-25,693046729.99,52.2313,2021-01-27,49.5839,stop,-8.09
LRCX,Unknown,2021-01-28,773,49.7964,76,45.8127,45.8127,36.01,30.0,31.42,1,,778.0,2021-01-27,762094446.43,47.9491,2021-01-29,45.7669,stop,-8.09
INTU,Unknown,2021-02-01,775,351.8221,16,323.6763,323.6763,339.86,90.0,299.6,1,,777.0,2021-01-29,500718920.65,359.2502,2021-02-03,367.6332,model_decay,4.49
JNJ,Unknown,2021-01-28,773,144.471,26,132.9133,132.9133,128.93,30.0,122.58,1,,778.0,2021-01-27,1169597198.29,145.1505,2021-02-04,138.0106,model_decay,-4.47
LLY,Unknown,2021-01-28,773,196.9168,19,181.1635,181.1635,147.47,30.0,137.86,1,,778.0,2021-01-27,948192800.67,198.7251,2021-02-04,185.9507,model_decay,-5.57
TPR,Unknown,2020-11-11,721,23.6971,154,21.8013,21.8013,16.34,30.0,13.38,1,,,2020-11-10,130241924.47,22.2591,2021-02-09,33.8643,timeout,42.9
AMAT,Unknown,2021-02-08,780,97.391,91,89.5997,89.5997,62.31,70.0,54.17,1,,782.0,2021-02-05,761267594.46,101.4396,2021-02-10,102.0538,model_decay,4.79
PPG,Unknown,2020-11-13,723,126.5625,28,116.4375,116.4375,110.22,30.0,104.6,2,,,2020-11-12,163028582.66,127.8595,2021-02-11,123.8234,timeout,-2.16
COF,Unknown,2020-11-19,727,76.9166,47,70.7633,70.7633,65.11,30.0,57.41,2,,,2020-11-18,250656296.8,77.0665,2021-02-18,106.8019,timeout,38.85
ILMN,Unknown,2021-02-16,785,495.0276,7,455.4254,455.4254,346.3,30.0,280.17,1,,790.0,2021-02-12,567236729.35,479.1342,2021-02-23,450.2108,model_decay,-9.05
AMAT,Unknown,2021-02-17,786,111.3614,81,102.4524,102.4524,62.31,70.0,54.17,2,,791.0,2021-02-16,769729405.93,110.5337,2021-02-24,110.0017,model_decay,-1.22
AVGO,Unknown,2020-11-27,732,34.9754,2,32.1774,32.1774,28.56,30.0,26.79,2,,,2020-11-25,518224675.32,35.1005,2021-02-25,42.5095,timeout,21.54
EOG,Unknown,2021-02-25,792,55.9018,188,51.4297,51.4297,38.7,100.0,34.8,2,,797.0,2021-02-24,215953247.57,54.4499,2021-02-26,51.3783,stop,-8.09
ALGN,Unknown,2021-02-26,793,562.0215,18,517.0597,517.0597,524.88,85.0,498.26,1,,798.0,2021-02-25,365923304.2,567.11,2021-03-04,516.5426,stop,-8.09
LRCX,Unknown,2021-02-26,793,52.6875,72,48.4725,48.4725,36.01,30.0,31.42,2,,798.0,2021-02-25,881786132.61,53.6045,2021-03-04,48.424,stop,-8.09
TER,Unknown,2020-12-10,558,111.7524,61,102.8122,102.8122,91.15,70.0,83.16,2,,,2020-12-09,148781619.72,113.2761,2021-03-08,102.7094,stop,-8.09
FE,Unknown,2021-03-01,794,27.1792,140,25.0048,25.0048,25.28,30.0,23.28,1,,799.0,2021-02-26,146404879.43,26.9663,2021-03-08,26.9958,model_decay,-0.67
LLY,Unknown,2021-03-03,796,193.3375,13,177.8705,177.8705,147.47,30.0,137.86,2,,815.0,2021-03-02,613206677.5,191.8433,2021-03-16,177.6926,stop,-8.09
APA,Unknown,2021-02-26,793,17.0374,223,15.6744,15.6744,12.97,30.0,11.32,2,,,2021-02-25,142001223.15,16.909,2021-03-23,15.5993,stop,-8.44
FE,Unknown,2021-03-17,806,28.9162,128,26.6029,26.6029,25.28,30.0,23.28,2,,811.0,2021-03-16,141893017.07,28.4111,2021-03-24,27.6893,model_decay,-4.24
ORCL,Unknown,2021-03-18,807,61.7039,154,56.7676,56.7676,54.58,77.5,51.33,1,,812.0,2021-03-17,1075927351.16,61.8927,2021-03-25,62.0346,model_decay,0.54
KEY,Unknown,2020-12-30,754,12.3556,11,11.3672,11.3672,10.15,33.3,8.9,2,,,2020-12-29,118050149.76,12.5283,2021-03-29,15.4225,timeout,24.82
NRG,Unknown,2021-03-23,810,30.9234,278,28.4495,28.4495,29.25,70.0,26.01,1,,815.0,2021-03-22,189188704.16,30.9964,2021-03-30,32.4523,model_decay,4.94
AMGN,Unknown,2021-03-31,816,211.6466,29,194.7149,194.7149,205.62,50.0,184.35,2,,821.0,2021-03-30,646105270.35,211.0789,2021-04-08,211.1136,model_decay,-0.25
NRG,Unknown,2021-04-21,830,32.5346,3,29.9318,29.9318,29.25,70.0,26.01,2,,835.0,2021-04-20,84471089.62,32.7011,2021-04-28,31.3112,model_decay,-3.76
LRCX,Unknown,2021-04-05,818,61.6131,60,56.684,56.684,36.01,30.0,31.42,3,,,2021-04-01,929055655.52,62.6031,2021-05-04,56.6273,stop,-8.09
AES,Unknown,2021-04-28,835,22.4532,3,20.657,20.657,23.48,42.5,20.63,1,,840.0,2021-04-27,109038088.22,22.5923,2021-05-05,21.8242,model_decay,-2.8
GPN,Unknown,2021-05-04,839,200.0776,18,184.0714,184.0714,196.64,70.0,181.17,1,,844.0,2021-05-03,179412275.25,195.5387,2021-05-11,183.6986,model_decay,-8.19
HCA,Unknown,2021-05-12,845,197.6539,16,181.8415,181.8415,172.74,100.0,162.36,1,,850.0,2021-05-11,300736972.52,195.2751,2021-05-19,194.8314,model_decay,-1.43
CF,Unknown,2021-05-19,850,48.2833,68,44.4207,44.4207,43.72,35.0,39.31,1,,855.0,2021-05-18,101514655.67,47.6324,2021-05-26,46.5063,model_decay,-3.68
NWL,Unknown,2021-05-21,852,22.2982,4,20.5143,20.5143,20.89,70.0,19.36,1,,857.0,2021-05-20,57584734.63,22.1585,2021-05-28,22.87,model_decay,2.56
AMGN,Unknown,2021-05-27,856,204.3093,16,187.9646,187.9646,195.53,30.0,185.33,2,,861.0,2021-05-26,603517138.67,201.0297,2021-06-04,202.0491,model_decay,-1.11
DD,Unknown,2021-03-16,805,87.7364,42,80.7175,80.7175,67.79,30.0,62.19,2,,,2021-03-15,365777855.45,87.1262,2021-06-10,96.6928,timeout,10.21
TSN,Unknown,2021-03-23,810,64.4208,57,59.2671,59.2671,57.04,30.0,52.92,1,,,2021-03-22,153863780.6,62.4756,2021-06-17,63.8161,timeout,-0.94
AMAT,Unknown,2021-03-24,811,117.503,41,108.1027,108.1027,62.31,70.0,54.17,3,,,2021-03-23,1058891485.87,115.9021,2021-06-18,129.5414,timeout,10.25
PH,Unknown,2021-05-13,846,286.1135,1,263.2244,263.2244,268.16,100.0,249.26,1,,,2021-05-12,239810169.36,296.4788,2021-06-18,262.9612,stop,-8.09
NWL,Unknown,2021-06-11,866,22.0308,334,20.2683,20.2683,20.89,70.0,19.36,2,,871.0,2021-06-10,49622810.19,22.1351,2021-06-18,20.3859,model_decay,-7.47
GS,Unknown,2021-06-18,871,316.161,27,290.8682,290.8682,304.14,70.0,289.21,1,,876.0,2021-06-17,898490084.16,309.0326,2021-06-25,326.4153,model_decay,3.24
WMB,Unknown,2021-04-13,824,18.3854,202,16.9145,16.9145,17.63,30.0,16.26,1,,,2021-04-12,153083538.09,18.5707,2021-07-08,20.6774,timeout,12.47
ORCL,Unknown,2021-04-14,825,71.8255,133,66.0794,66.0794,54.58,77.5,51.33,2,,,2021-04-13,936853735.11,71.5488,2021-07-09,79.9071,timeout,11.25
IQV,Unknown,2021-04-19,828,215.9257,7,198.6517,198.6517,199.99,30.0,185.38,1,,,2021-04-16,161323925.35,216.22,2021-07-14,249.3904,timeout,15.5
GS,Unknown,2021-07-20,892,312.3922,28,289.21,289.21,304.14,70.0,289.21,2,,894.0,2021-07-19,903160362.65,323.1452,2021-07-22,329.4951,model_decay,5.47
TJX,Unknown,2021-07-20,892,60.3094,62,58.74,58.74,63.04,30.0,58.74,1,,896.0,2021-07-19,375840900.0,61.8298,2021-07-26,63.1147,model_decay,4.65
EFX,Unknown,2021-05-05,840,228.0064,1,209.7659,209.7659,171.07,30.0,162.83,1,,,2021-05-04,176900762.27,230.508,2021-07-30,250.1115,timeout,9.69
CAH,Unknown,2021-08-05,904,49.2925,77,49.12,49.12,52.92,30.0,49.12,1,,909.0,2021-08-04,109873842.54,45.3512,2021-08-06,45.2073,stop,-8.29
GS,Unknown,2021-08-13,910,368.9078,23,339.3952,339.3952,304.14,70.0,289.21,3,,915.0,2021-08-12,781162177.92,363.9148,2021-08-20,346.4788,model_decay,-6.08
COF,Unknown,2021-08-31,922,151.8066,24,139.662,139.662,147.78,30.0,136.33,1,,927.0,2021-08-30,408921654.76,152.5188,2021-09-08,143.6633,model_decay,-5.36
BLL,Unknown,2021-09-02,924,91.1267,41,83.8366,83.8366,81.01,30.0,75.91,1,,929.0,2021-09-01,179223210.82,91.7771,2021-09-10,89.407,model_decay,-1.89
NLOK,Unknown,2021-09-17,934,23.3689,161,22.99,22.99,24.08,30.0,22.99,1,,939.0,2021-09-16,103865236.97,23.2551,2021-09-20,22.9244,stop,-1.9
KMB,Unknown,2021-09-17,934,113.3138,33,106.08,106.08,112.89,30.0,106.08,1,,939.0,2021-09-16,199726360.75,112.5429,2021-09-24,111.2576,model_decay,-1.81
EW,Unknown,2021-08-30,921,116.9869,32,107.6279,107.6279,97.28,30.0,92.59,1,,954.0,2021-08-27,217676155.2,118.04,2021-10-04,107.5203,stop,-8.09
REGN,Unknown,2021-07-13,887,570.4431,6,524.8076,524.8076,502.84,30.0,466.92,1,,,2021-07-12,470659240.37,572.2833,2021-10-06,542.9673,timeout,-4.82
AEP,Unknown,2021-07-20,892,72.097,52,67.16,67.16,70.77,30.0,67.16,1,,,2021-07-19,177268572.37,71.5743,2021-10-13,69.5772,timeout,-3.5
URI,Unknown,2021-10-13,952,330.895,11,304.4234,304.4234,314.21,30.0,289.37,1,,954.0,2021-10-12,221024312.37,327.3435,2021-10-15,343.933,model_decay,3.94
BLL,Unknown,2021-10-13,952,85.537,43,78.694,78.694,81.01,30.0,75.91,2,,957.0,2021-10-12,152935514.45,85.1981,2021-10-20,85.5911,model_decay,0.06
MTCH,Unknown,2021-11-01,532,144.9336,60,142.25,142.25,164.68,70.0,142.25,1,,536.0,2021-10-29,405094439.38,147.9477,2021-11-02,142.1078,stop,-1.95
MPC,Unknown,2021-11-04,968,57.8632,64,53.2341,53.2341,54.3,30.0,50.69,1,,970.0,2021-11-03,346943347.61,57.025,2021-11-08,59.5399,model_decay,2.9
BKNG,Unknown,2021-11-23,981,90.6564,96,83.4039,83.4039,88.7,70.0,81.44,1,,983.0,2021-11-22,882324424.26,91.6973,2021-11-26,83.0298,model_decay,-8.41
PWR,Unknown,2021-09-14,931,114.6948,90,105.5192,105.5192,92.35,100.0,84.39,1,,,2021-09-13,120985187.17,115.0862,2021-12-08,115.9628,timeout,1.11
NVDA,Unknown,2021-11-05,969,30.1184,124,27.7089,27.7089,20.66,30.0,18.7,1,,991.0,2021-11-04,6825603893.1,29.6547,2021-12-08,31.8663,model_decay,5.8
NVDA,Unknown,2021-12-10,993,31.083,119,28.5963,28.5963,20.66,30.0,18.7,2,,997.0,2021-12-09,15595856644.62,30.1029,2021-12-13,28.5677,stop,-8.09
EW,Unknown,2021-10-28,963,110.11,34,101.3012,101.3012,97.28,30.0,92.59,2,,,2021-10-27,255218618.75,116.51,2021-12-31,129.4205,end_of_data,17.54
SHW,Unknown,2021-11-23,981,315.9695,11,290.6919,290.6919,287.15,30.0,273.02,1,,,2021-11-22,352847741.4,314.2051,2021-12-31,337.5364,end_of_data,6.83
