symbol,signal_date,period,pit_member,facts_cached,event_available,filed,event_age_days,fresh_120d,form,accession,eps_growth,revenue_growth,revenue_tag
AN,2016-07-05,fit,True,True,True,2016-04-22,74,True,10-Q,0000350698-16-000316,-0.08247422680412364,0.035475911168642016,Revenues
AN,2016-07-08,fit,True,True,True,2016-04-22,77,True,10-Q,0000350698-16-000316,-0.08247422680412364,0.035475911168642016,Revenues
AON,2019-03-21,calibration,True,True,True,2019-02-19,30,True,10-K,0001628280-19-001558,-0.023404255319149025,0.07721544308861783,RevenueFromContractWithCustomerExcludingAssessedTax
AOS,2016-01-26,outside_experiment,False,True,False,,,False,,,,,
AOS,2016-02-01,outside_experiment,False,True,False,,,False,,,,,
AOS,2019-10-31,outside_experiment,True,True,True,2019-08-08,84,True,10-Q,0001193125-19-216951,-0.0757575757575758,-0.08148325933037326,RevenueFromContractWithCustomerExcludingAssessedTax
AOS,2020-03-06,internal_holdout,True,True,True,2020-02-24,11,True,10-K,0001193125-20-046736,-0.13953488372093015,-0.061231531729351585,RevenueFromContractWithCustomerExcludingAssessedTax
AOS,2020-05-11,internal_holdout,True,True,True,2020-05-05,6,True,10-Q,0001193125-20-133747,-0.39622641509433965,-0.14875701684041698,RevenueFromContractWithCustomerExcludingAssessedTax
APA,2016-11-30,fit,True,True,False,,,False,,,,,
APA,2018-01-23,fit,True,True,False,,,False,,,,,
APA,2020-12-10,internal_holdout,True,True,False,,,False,,,,,
APD,2014-10-30,outside_experiment,True,True,True,2014-07-24,98,True,10-Q,0001193125-14-278750,0.07352941176470584,0.034271581674714335,SalesRevenueNet
APD,2018-12-17,outside_experiment,True,True,True,2018-11-20,27,True,10-K,0000002969-18-000044,-0.5032967032967033,0.09069812887781525,Revenues
ARE,2019-07-30,outside_experiment,True,True,False,,,False,,,,,
AVGO,2016-09-27,fit,True,True,False,,,False,,,,,
AVGO,2020-09-08,internal_holdout,True,True,True,2020-06-12,88,True,10-Q,0001730168-20-000109,-0.28658536585365857,0.040783034257748874,RevenueFromContractWithCustomerExcludingAssessedTax
AVY,2020-09-14,internal_holdout,True,True,True,2020-07-28,48,True,10-Q,0001104659-20-087341,-0.4378698224852071,-0.14879991089825695,RevenueFromContractWithCustomerExcludingAssessedTax
AXON,2021-11-30,internal_holdout,False,True,False,,,False,,,,,
AXP,2016-11-07,fit,True,True,True,2011-02-28,2079,False,10-K,0000950123-11-019072,1.1753246753246755,0.13440443665130686,Revenues
