symbol,sector,entry_date,entry_idx,entry_price,shares,stop,initial_stop,pivot,edge_rank,pattern_stop,attempt,diagnostic_exit_idx,model_exit_idx,entry_day_stop,signal_date,entry_adv_dollars,highest_close,exit_date,exit_price,exit_reason,net_return_pct
IDXX,Unknown,2018-03-01,793,187.5774,18,172.5712,172.5712,165.77,30.0,154.88,2,,816.0,False,2018-02-28,128853929.5,182.51,2018-04-04,186.2136,model_decay,-0.73
BKNG,Unknown,2018-03-01,922,79.7713,122,73.3896,73.3896,77.75,100.0,70.5,1,,948.0,False,2018-02-28,1091841040.49,79.4472,2018-04-09,80.3605,model_decay,0.74
MGM,Unknown,2018-04-19,688,35.0473,102,32.2435,32.2435,34.48,30.0,31.95,1,,,False,2018-04-18,292930895.82,34.1855,2018-04-26,32.0001,stop,-8.69
ESRX,Unknown,2018-04-26,960,76.7367,46,70.5977,70.5977,62.76,70.0,59.17,2,,,False,2018-04-25,262321341.13,76.71,2018-05-04,70.5271,stop,-8.09
IDXX,Unknown,2018-05-08,840,205.6855,15,189.42,189.42,202.26,30.0,189.42,1,,850.0,False,2018-05-07,83415837.55,204.96,2018-05-22,201.3085,model_decay,-2.13
BKNG,Unknown,2018-04-20,957,84.7278,93,77.9496,77.9496,77.75,100.0,70.5,2,,,False,2018-04-19,722125257.56,83.4815,2018-06-28,77.8717,stop,-8.09
ADM,Unknown,2018-04-06,947,34.7042,281,31.9278,31.9278,32.87,85.0,30.57,2,,,False,2018-04-05,143871237.55,34.7715,2018-07-02,36.1535,timeout,4.18
HUM,Unknown,2018-04-09,948,265.2415,31,244.0222,244.0222,243.22,70.0,224.22,2,,,False,2018-04-06,293806239.2,264.9858,2018-07-03,279.1205,timeout,5.23
CMG,Unknown,2018-04-27,962,8.414,8,7.7409,7.7409,6.89,30.0,6.15,1,,,False,2018-04-26,392730051.3,8.547,2018-07-24,9.1299,timeout,8.51
VRSK,Unknown,2018-05-31,985,102.0405,31,99.0,99.0,101.35,30.0,99.0,1,,,False,2018-05-30,102197464.21,101.0068,2018-08-24,111.5625,timeout,9.33
SRE,Unknown,2018-06-20,999,43.5642,7,40.0791,40.0791,41.89,30.0,39.57,1,,,False,2018-06-19,264272173.27,43.3167,2018-09-14,45.7668,timeout,5.06
