date,equity,cash,positions,gross_exposure_pct,portfolio_return,spy_return,excess_return,exposure_matched_spy_return,exposure_matched_excess_return
2017-10-04,101720.18,89489.55,2,12.0238,-0.00053413,0.00118628,-0.00172042,0.00014319,-0.00067733
2017-10-05,101805.83,82127.99,4,19.3288,0.00084206,0.00592529,-0.00508323,0.00071245,0.00012962
2017-10-06,101767.45,82127.99,4,19.2984,-0.00037705,-0.00113878,0.00076173,-0.00022011,-0.00015694
2017-10-09,101778.95,78434.93,5,22.936,0.00011302,-0.00165094,0.00176396,-0.0003186,0.00043163
2017-10-10,101790.09,78434.93,5,22.9444,0.0001095,0.00263829,-0.00252879,0.00060512,-0.00049562
2017-10-11,101923.88,78434.93,5,23.0456,0.00131434,0.00157108,-0.00025674,0.00036047,0.00095386
2017-10-12,101983.76,78434.93,5,23.0908,0.00058749,-0.0014905,0.00207798,-0.00034349,0.00093098
2017-10-13,101918.48,78434.93,5,23.0415,-0.0006401,0.00121756,-0.00185766,0.00028114,-0.00092124
2017-10-16,101990.35,78434.93,5,23.0957,0.00070517,0.00133373,-0.00062857,0.00030731,0.00039785
2017-10-17,102072.82,78434.93,5,23.1579,0.00080863,0.00070544,0.00010318,0.00016293,0.0006457
2017-10-18,102042.94,78434.93,5,23.1354,-0.00029275,0.00097832,-0.00127107,0.00022656,-0.0005193
2017-10-19,101826.25,82261.95,4,19.2134,-0.00212348,0.00027355,-0.00239704,6.329e-05,-0.00218677
2017-10-20,101810.72,82261.95,4,19.2011,-0.00015255,0.00516075,-0.0053133,0.00099156,-0.0011441
2017-10-23,101641.58,86213.43,3,15.179,-0.00166132,-0.00388965,0.00222833,-0.00074686,-0.00091447
2017-10-24,101694.29,86213.43,3,15.2229,0.00051855,0.00175729,-0.00123874,0.00026674,0.00025181
2017-10-25,101401.03,94171.47,2,7.1297,-0.00288369,-0.00495025,0.00206656,-0.00075357,-0.00213011
2017-10-26,101353.91,97846.42,1,3.4606,-0.00046473,0.00129249,-0.00175722,9.215e-05,-0.00055688
2017-10-27,101337.53,97846.42,1,3.445,-0.00016159,0.00817625,-0.00833784,0.00028295,-0.00044454
2017-10-30,101466.27,94215.81,2,7.1457,0.0012704,-0.00372511,0.00499551,-0.00012833,0.00139873
2017-10-31,101260.27,94036.51,2,7.1339,-0.00203018,0.00155804,-0.00358823,0.00011133,-0.00214152
2017-11-01,101205.52,94036.51,2,7.0836,-0.00054067,0.00132232,-0.00186299,9.433e-05,-0.000635
2017-11-02,101149.99,94036.51,2,7.0326,-0.00054877,0.00038861,-0.00093738,2.753e-05,-0.00057629
2017-11-03,101128.47,90442.78,3,10.5665,-0.00021269,0.00333838,-0.00355107,0.00023478,-0.00044746
2017-11-06,101462.13,90442.78,3,10.8606,0.00329936,0.00154779,0.00175157,0.00016355,0.00313581
2017-11-07,101480.09,90442.78,3,10.8763,0.000177,-0.00069574,0.00087274,-7.556e-05,0.00025256
2017-11-08,101647.99,90442.78,3,11.0235,0.00165447,0.00170095,-4.648e-05,0.000185,0.00146947
2017-11-09,101579.38,90442.78,3,10.9634,-0.00067492,-0.00362766,0.00295274,-0.0003999,-0.00027502
2017-11-10,101478.06,86771.58,4,14.4923,-0.0009975,-0.00030998,-0.00068752,-3.398e-05,-0.00096352
2017-11-13,101472.95,86771.58,4,14.488,-5.037e-05,0.0009298,-0.00098016,0.00013475,-0.00018512
2017-11-14,101392.63,86771.58,4,14.4202,-0.00079146,-0.00232233,0.00153087,-0.00033646,-0.000455
2017-11-15,101068.88,76660.04,5,24.1507,-0.00319303,-0.00500552,0.00181249,-0.00072181,-0.00247122
2017-11-16,101235.62,76660.04,5,24.2756,0.00164977,0.00850147,-0.00685169,0.00205316,-0.00040339
2017-11-17,101139.27,70936.43,6,29.8626,-0.00095177,-0.00293905,0.00198728,-0.00071347,-0.0002383
2017-11-20,101205.37,70936.43,6,29.9084,0.00065349,0.00170629,-0.0010528,0.00050954,0.00014395
2017-11-21,101320.6,74826.56,5,26.1487,0.00113867,0.00654317,-0.0054045,0.00195696,-0.00081829
2017-11-22,101134.03,74826.56,5,26.0125,-0.00184141,-0.00088469,-0.00095672,-0.00023133,-0.00161007
2017-11-24,101267.48,74826.56,5,26.11,0.00131952,0.00230954,-0.00099002,0.00060077,0.00071875
2017-11-27,101063.4,74826.56,5,25.9608,-0.00201524,-0.0004991,-0.00151614,-0.00013032,-0.00188493
2017-11-28,101279.2,78307.49,4,22.6816,0.00213528,0.01014496,-0.00800968,0.00263371,-0.00049843
2017-11-29,101178.25,78215.92,4,22.6949,-0.0009968,-0.00060888,-0.00038792,-0.0001381,-0.0008587
2017-11-30,101105.74,78215.92,4,22.6395,-0.00071662,0.00875529,-0.00947191,0.00198701,-0.00270362
2017-12-01,100860.35,87509.24,3,13.2372,-0.00242704,-0.00207543,-0.00035161,-0.00046987,-0.00195717
2017-12-04,100617.31,93617.85,2,6.9565,-0.00240971,-0.00121001,-0.0011997,-0.00016017,-0.00224954
2017-12-05,100675.7,93617.85,2,7.0105,0.00058037,-0.00359672,0.00417708,-0.00025021,0.00083057
2017-12-06,100680.81,93617.85,2,7.0152,5.069e-05,0.0001901,-0.00013941,1.333e-05,3.736e-05
2017-12-07,100713.33,85094.86,3,15.5078,0.00032306,0.00315278,-0.00282971,0.00022117,0.00010189
2017-12-08,100703.47,85094.86,3,15.4996,-9.789e-05,0.00545287,-0.00555076,0.00084562,-0.00094351
2017-12-11,100815.53,85094.86,3,15.5935,0.00111271,0.00301328,-0.00190056,0.00046705,0.00064567
2017-12-12,100738.71,85094.86,3,15.5291,-0.00076196,0.00176522,-0.00252718,0.00027526,-0.00103722
2017-12-13,100783.04,85094.86,3,15.5663,0.00044001,-0.00011287,0.00055287,-1.753e-05,0.00045753
2017-12-14,100727.67,85094.86,3,15.5199,-0.00054934,-0.00408644,0.0035371,-0.00063611,8.676e-05
2017-12-15,100730.64,85094.86,3,15.5224,2.951e-05,0.00832752,-0.00829801,0.00129242,-0.00126291
2017-12-18,100572.34,85094.86,3,15.3894,-0.00157151,0.00634141,-0.00791292,0.00098434,-0.00255585
2017-12-19,100350.3,75071.52,4,25.1905,-0.00220781,-0.00384024,0.00163244,-0.00059099,-0.00161682
2017-12-20,100311.87,75071.52,4,25.1619,-0.00038292,-0.00052441,0.00014149,-0.0001321,-0.00025082
2017-12-21,100139.15,70848.03,5,29.2504,-0.00172183,0.00205992,-0.00378175,0.00051831,-0.00224015
2017-12-22,99940.65,70848.03,5,29.1099,-0.00198228,-0.0002618,-0.00172048,-7.658e-05,-0.00190571
2017-12-26,99894.4,70848.03,5,29.0771,-0.00046276,-0.00119567,0.00073291,-0.00034806,-0.0001147
2017-12-27,99899.71,70848.03,5,29.0808,5.31e-05,0.000486,-0.0004329,0.00014131,-8.821e-05
2017-12-28,100009.85,74375.95,4,25.6314,0.00110257,0.00205768,-0.00095512,0.00059839,0.00050418
