attempt,candidate_priority,edge_rank,fill_date,fill_idx,pattern_stop,pivot,positive_relative_ma_slope,relative_ma_missing_reason,relative_ma_period,relative_ma_signal_date,relative_ma_slope_pct,relative_ma_slope_sessions,sector,signal_date,spy_ma_20_sessions_ago,spy_ma_slope_pct,spy_ma_value,stock_ma_20_sessions_ago,stock_ma_slope_pct,stock_ma_value,stock_signal_close,symbol
1,0.017426476751802866,82.51742647675181,2017-04-28,711,0.0,,True,,60,2017-04-27,0.017426476751802866,10,Real Estate,2017-04-27,201.533646666667,0.6494581368001517,202.84252333333376,25.362958333333488,0.6668846135519546,25.53210000000008,26.4633,UDR
1,0.01280019981231284,82.51280019981232,2017-04-28,711,0.0,,True,,60,2017-04-27,0.01280019981231284,10,Consumer Discretionary,2017-04-27,201.533646666667,0.6494581368001517,202.84252333333376,39.98037000000016,0.6622583366124646,40.245143333333665,40.7158,GRMN
1,0.009417801311073504,82.50941780131107,2017-04-28,711,0.0,,True,,60,2017-04-27,0.009417801311073504,10,Consumer Staples,2017-04-27,201.533646666667,0.6494581368001517,202.84252333333376,76.77216666666669,0.6588759381112252,77.278,83.13,DLTR
1,0.0016395822765247203,82.50163958227652,2017-04-28,711,0.0,,True,,60,2017-04-27,0.0016395822765247203,10,Financials,2017-04-27,201.533646666667,0.6494581368001517,202.84252333333376,44.16362166666665,0.6510977190766765,44.45116999999997,44.5773,C
1,0.19274430330420422,82.69274430330421,2017-05-01,712,0.0,,True,,60,2017-04-28,0.19274430330420422,10,Health Care,2017-04-28,201.6308366666669,0.6827733740662367,203.0075183333339,368.7536433333356,0.875517677370441,371.98214666666655,385.3076,REGN
1,0.183892578113376,82.68389257811337,2017-05-01,712,0.0,,True,,60,2017-04-28,0.183892578113376,10,Health Care,2017-04-28,201.6308366666669,0.6827733740662367,203.0075183333339,31.102333333333505,0.8666659521796127,31.371886666666917,36.5567,EW
1,0.1591104285434186,82.65911042854341,2017-05-01,712,0.0,,True,,60,2017-04-28,0.1591104285434186,10,Health Care,2017-04-28,201.6308366666669,0.6827733740662367,203.0075183333339,106.37671499999985,0.8418838026096553,107.27228333333308,107.6532,ZBH
1,0.08910987874122256,82.58910987874123,2017-05-01,712,0.0,,True,,60,2017-04-28,0.08910987874122256,10,Communication Services,2017-04-28,201.6308366666669,0.6827733740662367,203.0075183333339,41.87463999999988,0.7718832528074593,42.19786333333329,45.8197,GOOGL
1,0.0008933557078760757,82.50089335570787,2017-05-01,712,0.0,,True,,60,2017-04-28,0.0008933557078760757,10,Utilities,2017-04-28,201.6308366666669,0.6827733740662367,203.0075183333339,50.44295000000014,0.6836667297741128,50.787811666666734,51.6804,D
1,2.528716836692624,85.02871683669262,2017-05-02,532,0.0,,True,,60,2017-05-01,2.528716836692624,10,Information Technology,2017-05-01,201.76977666666693,0.6984362854610016,203.17901000000057,13.17466666666667,3.2271531221536254,13.599833333333338,13.62,AMD
1,0.6973924136859377,83.19739241368593,2017-05-02,713,0.0,,True,,60,2017-05-01,0.6973924136859377,10,Unknown,2017-05-01,201.76977666666693,0.6984362854610016,203.17901000000057,17.660118333333443,1.3958286991469393,17.90662333333342,17.9323,JEF
1,0.12262288376267971,82.62262288376267,2017-05-02,713,0.0,,True,,60,2017-05-01,0.12262288376267971,10,Financials,2017-05-01,201.76977666666693,0.6984362854610016,203.17901000000057,59.85845499999996,0.8210591692236813,60.34992833333308,64.0348,STT
1,0.05708016093901591,82.55708016093902,2017-05-02,713,0.0,,True,,60,2017-05-01,0.05708016093901591,10,Financials,2017-05-01,201.76977666666693,0.6984362854610016,203.17901000000057,44.20486166666663,0.7555164464000175,44.538836666666676,44.6299,C
1,0.046181620612961716,82.54618162061296,2017-05-02,713,0.0,,True,,60,2017-05-01,0.046181620612961716,10,Information Technology,2017-05-01,201.76977666666693,0.6984362854610016,203.17901000000057,102.1915616666669,0.7446179060739633,102.95249833333352,104.559,ACN
1,0.04188566306373431,82.54188566306374,2017-05-02,713,0.0,,True,,60,2017-05-01,0.04188566306373431,10,Financials,2017-05-01,201.76977666666693,0.6984362854610016,203.17901000000057,67.76983999999987,0.7403219485247359,68.27155499999996,70.9456,FIS
1,1.234629134191434,83.73462913419144,2017-05-03,714,0.0,,True,,60,2017-05-02,1.234629134191434,10,Financials,2017-05-02,201.88671333333357,0.7145352177214459,203.32926500000056,105.73898833333332,1.9491643519128798,107.80001499999999,107.8751,AMP
1,0.8810680000296278,83.38106800002963,2017-05-03,714,0.0,,True,,60,2017-05-02,0.8810680000296278,10,Real Estate,2017-05-02,201.88671333333357,0.7145352177214459,203.32926500000056,23.206061666666574,1.5956032177510737,23.576338333333204,23.5839,WY
1,0.853097645540557,83.35309764554056,2017-05-03,714,0.0,,True,,60,2017-05-02,0.853097645540557,10,Consumer Discretionary,2017-05-02,201.88671333333357,0.7145352177214459,203.32926500000056,29.99107833333328,1.567632863262003,30.461228333333263,33.6987,TPR
1,0.7367510049804737,83.23675100498048,2017-05-03,714,0.0,,True,,60,2017-05-02,0.7367510049804737,10,Unknown,2017-05-02,201.88671333333357,0.7145352177214459,203.32926500000056,37.73951166666684,1.4512862227019196,38.28722000000016,38.3813,VFC
1,0.30791035901056585,82.80791035901056,2017-05-03,714,0.0,,True,,60,2017-05-02,0.30791035901056585,10,Health Care,2017-05-02,201.88671333333357,0.7145352177214459,203.32926500000056,115.73297333333345,1.0224455767320118,116.91628000000055,119.4562,UHS
1,0.12402083613545223,82.62402083613546,2017-05-03,714,0.0,,True,,60,2017-05-02,0.12402083613545223,10,Consumer Discretionary,2017-05-02,201.88671333333357,0.7145352177214459,203.32926500000056,33.895169999999965,0.8385560538568981,34.17940000000005,34.6553,TJX
1,0.0691493003196042,82.56914930031961,2017-05-03,714,0.0,,True,,60,2017-05-02,0.0691493003196042,10,Industrials,2017-05-02,201.88671333333357,0.7145352177214459,203.32926500000056,77.51737499999957,0.7836845180410501,78.12486666666639,83.6049,CAT
1,0.06253246748497698,82.56253246748497,2017-05-03,714,0.0,,True,,60,2017-05-02,0.06253246748497698,10,Unknown,2017-05-02,201.88671333333357,0.7145352177214459,203.32926500000056,112.0803266666655,0.7770676852064229,112.95126666666596,117.6941,WLTW
1,0.031612246850709624,82.53161224685071,2017-05-03,714,0.0,,True,,60,2017-05-02,0.031612246850709624,10,Financials,2017-05-02,201.88671333333357,0.7145352177214459,203.32926500000056,74.35460500000032,0.7461474645721555,74.90940000000046,77.1952,GPN
1,0.021882722475030647,82.52188272247503,2017-05-03,714,0.0,,True,,60,2017-05-02,0.021882722475030647,10,Financials,2017-05-02,201.88671333333357,0.7145352177214459,203.32926500000056,25.67065833333345,0.7364179401964766,25.85970166666666,26.3479,BEN
1,0.0031886178653683928,82.50318861786536,2017-05-03,714,0.0,,True,,60,2017-05-02,0.0031886178653683928,10,Real Estate,2017-05-02,201.88671333333357,0.7145352177214459,203.32926500000056,12.358978333333198,0.7177238355868143,12.44768166666654,12.5757,HST
1,0.6851122212155003,83.1851122212155,2017-05-05,716,0.0,,True,,60,2017-05-04,0.6851122212155003,10,Consumer Staples,2017-05-04,202.13170333333377,0.7447479251605493,203.63707500000044,43.555658333333,1.4298601463760496,44.17844333333305,45.1748,CHD
1,0.5045520104614898,83.0045520104615,2017-05-05,716,0.0,,True,,60,2017-05-04,0.5045520104614898,10,Unknown,2017-05-04,202.13170333333377,0.7447479251605493,203.63707500000044,91.40826000000015,1.2492999356220391,92.55022333333339,92.591,HRS
1,0.4658855616501034,82.9658855616501,2017-05-05,716,0.0,,True,,60,2017-05-04,0.4658855616501034,10,Health Care,2017-05-04,202.13170333333377,0.7447479251605493,203.63707500000044,71.06775166666606,1.2106334868106527,71.92812166666614,72.0585,LLY
1,0.2523312629428842,82.75233126294289,2017-05-05,716,0.0,,True,,60,2017-05-04,0.2523312629428842,10,Consumer Staples,2017-05-04,202.13170333333377,0.7447479251605493,203.63707500000044,22.48233333333325,0.9970791881034335,22.70649999999996,22.965,MNST
1,0.2379139478215775,82.73791394782158,2017-05-05,716,0.0,,True,,60,2017-05-04,0.2379139478215775,10,Industrials,2017-05-04,202.13170333333377,0.7447479251605493,203.63707500000044,27.379543333333306,0.9826618729821268,27.648591666666594,27.7717,CTAS
1,0.1763691557548519,82.67636915575486,2017-05-05,716,0.0,,True,,60,2017-05-04,0.1763691557548519,10,Utilities,2017-05-04,202.13170333333377,0.7447479251605493,203.63707500000044,41.389779999999945,0.9211170809154012,41.771028333333255,42.0764,AEE
