symbol,sector,entry_date,entry_idx,entry_price,shares,stop,initial_stop,pivot,edge_rank,pattern_stop,attempt,diagnostic_exit_idx,model_exit_idx,entry_day_stop,signal_date,entry_adv_dollars,highest_close,exit_date,exit_price,exit_reason,net_return_pct
RF,Unknown,2016-11-16,600,9.2627,111,8.5216,8.5216,7.06,70.0,6.56,1,,636.0,False,2016-11-15,190192766.67,9.0293,2017-01-10,10.1653,model_decay,9.74
VLO,Unknown,2016-10-28,587,40.1043,89,36.8959,36.8959,37.76,30.0,35.89,1,,637.0,False,2016-10-27,216526177.3,39.9483,2017-01-11,45.905,model_decay,14.46
KEY,Unknown,2016-11-29,608,11.3823,19,10.4717,10.4717,8.4,70.0,7.9,1,,642.0,False,2016-11-28,205478654.63,11.3575,2017-01-19,12.1133,model_decay,6.42
HAS,Unknown,2017-01-25,646,62.3459,59,58.81,58.81,60.89,30.0,58.81,1,,653.0,False,2017-01-24,83320466.16,62.7538,2017-01-26,58.6157,stop,-5.98
HRB,Unknown,2016-12-28,628,16.2598,225,14.9591,14.9591,16.23,30.0,14.3,1,,650.0,False,2016-12-27,56309830.77,16.0916,2017-01-31,15.1231,model_decay,-6.99
AXP,Unknown,2016-11-10,596,60.7041,59,56.96,56.96,59.5,30.0,56.96,1,,,False,2016-11-09,334095302.52,61.4054,2017-02-08,68.1344,timeout,12.24
MAR,Unknown,2016-11-11,597,67.1294,59,61.759,61.759,64.84,33.3,60.42,1,,,False,2016-11-10,202799584.77,67.2824,2017-02-09,79.8624,timeout,18.97
EMN,Unknown,2016-12-16,621,56.0603,3,51.5755,51.5755,49.68,30.0,45.47,1,,659.0,False,2016-12-15,83361156.03,55.1555,2017-02-13,57.7166,model_decay,2.95
AVGO,Unknown,2016-12-14,619,13.8363,265,12.7294,12.7294,13.35,30.0,12.51,2,,,False,2016-12-13,411960629.68,13.7352,2017-03-14,17.363,timeout,25.49
HAS,Unknown,2017-02-07,655,68.6853,53,63.1905,63.1905,60.89,30.0,58.81,2,,679.0,False,2017-02-06,127302648.27,69.1262,2017-03-14,71.1656,model_decay,3.61
IVZ,Unknown,2017-02-13,659,20.7919,177,19.53,19.53,20.63,30.0,19.53,1,,684.0,False,2017-02-10,70267847.99,20.823,2017-03-21,20.4754,model_decay,-1.52
KEY,Unknown,2017-02-15,661,12.7792,561,11.7568,11.7568,8.4,70.0,7.9,2,,,False,2017-02-14,137282405.19,12.753,2017-03-21,11.745,stop,-8.09
TXT,Unknown,2017-03-02,671,48.8819,1,45.99,45.99,48.77,70.0,45.99,1,,,False,2017-03-01,82287318.67,48.2208,2017-03-21,45.944,stop,-6.01
QRVO,Unknown,2017-02-13,532,66.5365,55,61.2136,61.2136,56.97,30.0,52.82,1,,559.0,False,2017-02-10,138865841.8,66.53,2017-03-23,66.3835,model_decay,-0.23
TDC,Unknown,2017-04-21,706,31.9119,115,29.3589,29.3589,31.13,30.0,28.9,2,,712.0,False,2017-04-20,35560206.0,31.06,2017-04-27,29.3295,stop,-8.09
QRVO,Unknown,2017-04-10,571,71.2912,51,65.5879,65.5879,56.97,30.0,52.82,2,,586.0,False,2017-04-07,97677507.5,70.64,2017-05-02,68.4615,model_decay,-3.97
VRSN,Unknown,2017-02-13,659,81.802,105,75.2579,75.2579,81.64,70.0,73.49,1,,,False,2017-02-10,55106620.82,81.6612,2017-05-10,87.6611,timeout,7.16
MLM,Unknown,2017-05-03,714,222.9662,16,205.1289,205.1289,209.81,30.0,192.34,1,,735.0,False,2017-05-02,134542283.62,223.2761,2017-06-02,213.2721,model_decay,-4.35
ADI,Unknown,2017-06-01,734,72.8333,51,67.0066,67.0066,67.52,30.0,62.95,1,,742.0,False,2017-05-31,274306455.74,69.3283,2017-06-05,66.9396,stop,-8.09
VRTX,Unknown,2017-04-05,695,112.4623,32,103.4654,103.4654,95.0,30.0,88.9,1,,,False,2017-04-04,227207335.75,114.11,2017-06-30,132.0678,timeout,17.43
IVZ,Unknown,2017-04-25,708,21.1516,174,19.53,19.53,20.63,30.0,19.53,2,,,False,2017-04-24,56234546.2,21.0454,2017-07-20,23.9432,timeout,13.2
EW,Unknown,2017-04-27,710,36.323,101,33.4171,33.4171,32.16,30.0,30.81,1,,,False,2017-04-26,177359292.86,36.5567,2017-07-24,39.2507,timeout,8.06
REGN,Unknown,2017-05-03,714,399.1056,9,367.1772,367.1772,393.43,30.0,358.99,1,,,False,2017-05-02,330738292.28,403.6957,2017-07-28,502.3538,timeout,25.87
GT,Unknown,2017-07-18,766,33.4479,112,30.7721,30.7721,33.4,30.0,30.58,1,,,False,2017-07-17,71586751.95,32.9803,2017-07-28,29.3845,stop,-12.15
WMB,Unknown,2017-07-05,757,19.1394,456,17.6083,17.6083,18.47,70.0,17.2,1,,784.0,False,2017-07-03,117570720.65,18.8777,2017-08-11,18.6724,model_decay,-2.44
TROW,Unknown,2017-06-23,750,52.282,71,48.0995,48.0995,51.07,30.0,47.04,1,,793.0,False,2017-06-22,75539995.72,52.4075,2017-08-24,59.0646,model_decay,12.97
CHTR,Unknown,2017-08-01,729,393.2328,9,361.7742,361.7742,355.0,30.0,329.04,1,,759.0,False,2017-07-31,553659981.55,387.42,2017-09-13,381.0985,model_decay,-3.09
QRVO,Unknown,2017-08-31,671,73.2632,51,67.4021,67.4021,70.27,30.0,64.7,1,,686.0,False,2017-08-30,78794120.1,73.22,2017-09-22,70.3096,model_decay,-4.03
DLR,Unknown,2017-09-01,799,87.18,42,81.39,81.39,86.96,30.0,81.39,1,,826.0,False,2017-08-31,73244730.75,86.5707,2017-10-11,88.654,model_decay,1.69
PRGO,Unknown,2017-09-13,806,68.8243,54,63.3183,63.3183,62.07,30.0,59.17,1,,827.0,False,2017-09-12,96921496.43,69.2064,2017-10-12,67.879,model_decay,-1.37
WMB,Unknown,2017-09-12,805,19.0301,459,17.5077,17.5077,18.47,70.0,17.2,2,,,False,2017-09-11,73356110.51,18.9797,2017-10-25,17.4902,stop,-8.09
TJX,Unknown,2017-09-13,806,32.6606,114,30.14,30.14,32.28,30.0,30.14,1,,836.0,False,2017-09-12,272053776.85,32.5483,2017-10-25,31.7415,model_decay,-2.81
DLR,Unknown,2017-10-19,832,91.3018,41,83.9977,83.9977,86.96,30.0,81.39,2,,839.0,False,2017-10-18,119195501.47,91.811,2017-10-30,86.2921,model_decay,-5.49
PRGO,Unknown,2017-10-18,831,68.9176,54,63.4042,63.4042,62.07,30.0,59.17,2,,841.0,False,2017-10-17,70103243.98,68.8488,2017-10-31,63.3408,stop,-8.09
CB,Unknown,2017-10-30,839,131.6743,28,121.1404,121.1404,126.06,30.0,120.78,1,,854.0,False,2017-10-27,177235388.54,131.7496,2017-11-20,127.899,model_decay,-2.87
TROW,Unknown,2017-08-28,795,59.8373,62,55.0503,55.0503,51.07,30.0,47.04,2,,,False,2017-08-25,77238743.99,59.7988,2017-11-21,69.2781,timeout,15.78
AMAT,Unknown,2017-10-03,820,47.5248,78,43.7228,43.7228,44.13,30.0,41.45,1,,862.0,False,2017-10-02,511980143.67,47.1408,2017-12-01,47.3195,model_decay,-0.43
SO,Unknown,2017-09-20,811,35.0707,98,33.4,33.4,34.66,70.0,33.4,1,,864.0,False,2017-09-19,161984247.73,34.6365,2017-12-05,35.5375,model_decay,1.33
