date,equity,cash,positions,gross_exposure_pct,portfolio_return,spy_return,excess_return,exposure_matched_spy_return,exposure_matched_excess_return
2017-08-04,104062.38,91122.13,2,12.4351,-8.994e-05,0.00182259,-0.00191253,0.00020864,-0.00029858
2017-08-07,104125.77,91122.13,2,12.4884,0.00060919,0.00185927,-0.00125008,0.0002312,0.00037799
2017-08-08,103889.13,91122.13,2,12.2891,-0.00227262,-0.00246112,0.0001885,-0.00030735,-0.00196526
2017-08-09,103910.4,91122.13,2,12.307,0.00020474,-4.048e-05,0.00024523,-4.98e-06,0.00020972
2017-08-10,103637.16,91122.13,2,12.0758,-0.00262961,-0.0141155,0.01148588,-0.0017372,-0.00089241
2017-08-11,103787.15,91122.13,2,12.2029,0.00144725,0.0014774,-3.016e-05,0.00017841,0.00126884
2017-08-14,103834.53,99663.3,1,4.0172,0.00045655,0.00991275,-0.0094562,0.00120964,-0.00075309
2017-08-15,103753.25,96050.24,2,7.4244,-0.00078278,-0.00012181,-0.00066097,-4.89e-06,-0.00077789
2017-08-16,103744.25,96050.24,2,7.4163,-8.674e-05,0.0017447,-0.00183145,0.00012953,-0.00021628
2017-08-17,103601.06,96050.24,2,7.2884,-0.00138022,-0.01559113,0.0142109,-0.00115629,-0.00022393
2017-08-18,103586.48,96050.24,2,7.2753,-0.00014073,-0.00156336,0.00142263,-0.00011394,-2.679e-05
2017-08-21,103641.56,96050.24,2,7.3246,0.00053173,0.00078314,-0.00025141,5.698e-05,0.00047475
2017-08-22,103821.65,96050.24,2,7.4853,0.00173762,0.01045707,-0.00871944,0.00076594,0.00097169
2017-08-23,103700.96,96050.24,2,7.3777,-0.00116247,-0.00358572,0.00242325,-0.0002684,-0.00089407
2017-08-24,103767.47,96050.24,2,7.437,0.00064136,-0.00233071,0.00297207,-0.00017195,0.00081332
2017-08-25,103707.79,99569.5,1,3.9903,-0.00057516,0.00233615,-0.00291131,0.00017374,-0.0007489
2017-08-28,103711.3,99569.5,1,3.9936,3.385e-05,4.093e-05,-7.09e-06,1.63e-06,3.221e-05
2017-08-29,103697.53,99569.5,1,3.9808,-0.00013277,0.00114508,-0.00127785,4.573e-05,-0.0001785
2017-08-30,103789.33,99569.5,1,4.0658,0.00088527,0.00473719,-0.00385192,0.00018858,0.00069669
2017-08-31,103904.08,99569.5,1,4.1717,0.0011056,0.00601645,-0.00491085,0.00024461,0.00086099
2017-09-01,103916.82,79664.0,5,23.3387,0.00012264,0.00141423,-0.00129159,5.9e-05,6.364e-05
2017-09-05,103918.0,79664.0,5,23.3396,1.133e-05,-0.00718184,0.00719317,-0.00167615,0.00168748
2017-09-06,103864.31,83202.68,4,19.8929,-0.00051666,0.00341349,-0.00393015,0.00079669,-0.00131335
2017-09-07,103897.91,79562.69,5,23.4222,0.00032346,-0.00012163,0.00044509,-2.42e-05,0.00034766
2017-09-08,103714.36,79562.69,5,23.2867,-0.00176656,-0.00117496,-0.0005916,-0.0002752,-0.00149136
2017-09-11,103970.03,79562.69,5,23.4754,0.00246507,0.01066637,-0.0082013,0.00248385,-1.878e-05
2017-09-12,103912.89,79562.69,5,23.4333,-0.00054959,0.00337035,-0.00391993,0.0007912,-0.00134079
2017-09-13,103879.07,75520.09,6,27.3,-0.0003254,0.00048039,-0.00080579,0.00011257,-0.00043797
2017-09-14,103797.82,75520.09,6,27.2431,-0.00078221,-0.0003201,-0.0004621,-8.739e-05,-0.00069482
2017-09-15,103711.57,75520.09,6,27.1826,-0.00083094,0.00134616,-0.0021771,0.00036673,-0.00119768
2017-09-18,103688.61,79662.87,5,23.171,-0.00022133,0.00212679,-0.00234812,0.00057812,-0.00079945
2017-09-19,103577.49,83394.45,4,19.4859,-0.0010717,0.00100131,-0.002073,0.00023201,-0.00130371
2017-09-20,103219.21,74661.83,5,27.6667,-0.00345902,0.00036,-0.00381902,7.015e-05,-0.00352917
2017-09-21,103067.19,78352.81,4,23.9789,-0.00147285,-0.00267934,0.00120649,-0.00074128,-0.00073157
2017-09-22,102971.76,81938.6,3,20.4261,-0.00092589,0.00020062,-0.00112651,4.811e-05,-0.00097399
2017-09-25,103138.37,90441.21,2,12.3108,0.00161799,-0.00204479,0.00366278,-0.00041767,0.00203566
2017-09-26,103022.52,90441.21,2,12.2122,-0.00112317,0.00060251,-0.00172568,7.417e-05,-0.00119734
2017-09-27,102939.31,93992.59,1,8.6913,-0.00080774,0.00389462,-0.00470237,0.00047562,-0.00128336
2017-09-28,102945.29,93992.59,1,8.6966,5.814e-05,0.00119961,-0.00114147,0.00010426,-4.612e-05
2017-09-29,102948.29,93992.59,1,8.6992,2.907e-05,0.00351496,-0.00348589,0.00030568,-0.00027661
2017-10-02,102950.29,90295.32,2,12.2923,1.947e-05,0.00433889,-0.00431941,0.00037745,-0.00035798
2017-10-03,102908.43,82877.54,4,19.4648,-0.00040657,0.00213988,-0.00254645,0.00026304,-0.00066961
2017-10-04,102849.51,79155.73,5,23.0373,-0.00057259,0.00118628,-0.00175887,0.00023091,-0.00080349
2017-10-05,102969.28,75467.81,6,26.7084,0.00116449,0.00592529,-0.0047608,0.00136503,-0.00020054
2017-10-06,102985.87,75467.81,6,26.7202,0.00016109,-0.00113878,0.00129988,-0.00030415,0.00046524
2017-10-09,102994.56,71922.77,7,30.1684,8.443e-05,-0.00165094,0.00173536,-0.00044113,0.00052556
2017-10-10,103008.8,71922.77,7,30.178,0.0001383,0.00263829,-0.00249999,0.00079593,-0.00065763
2017-10-11,103168.33,75577.61,6,26.7434,0.00154868,0.00157108,-2.24e-05,0.00047412,0.00107456
2017-10-12,103247.26,75577.61,6,26.7994,0.000765,-0.0014905,0.0022555,-0.00039861,0.00116361
2017-10-13,103193.16,75577.61,6,26.761,-0.00052392,0.00121756,-0.00174148,0.0003263,-0.00085022
2017-10-16,103280.62,75577.61,6,26.823,0.00084748,0.00133373,-0.00048625,0.00035692,0.00049056
2017-10-17,103364.12,75577.61,6,26.8822,0.00080847,0.00070544,0.00010303,0.00018922,0.00061925
2017-10-18,103340.8,75577.61,6,26.8657,-0.00022553,0.00097832,-0.00120385,0.00026299,-0.00048852
2017-10-19,103203.39,75577.61,6,26.7683,-0.00132976,0.00027355,-0.00160332,7.349e-05,-0.00140325
2017-10-20,103191.96,79150.67,5,23.2976,-0.00011068,0.00516075,-0.00527144,0.00138144,-0.00149213
2017-10-23,102918.34,79150.67,5,23.0937,-0.00265163,-0.00388965,0.00123803,-0.0009062,-0.00174543
2017-10-24,102929.37,79150.67,5,23.102,0.00010723,0.00175729,-0.00165006,0.00040582,-0.00029859
